n_neighbors,min_dist,n_components,metric,optimal_k,optimal_silhouette
5,0.0,20,chebyshev,3,0.70306206
5,0.0,50,chebyshev,2,0.6987982
5,0.0,100,chebyshev,2,0.69047266
5,0.0,5,chebyshev,3,0.6880849
5,0.0,10,chebyshev,3,0.6820094
5,0.1,10,chebyshev,2,0.6815009
5,0.1,20,chebyshev,2,0.680915
10,0.0,100,chebyshev,2,0.6786211
5,0.1,50,chebyshev,3,0.6582107
10,0.0,5,chebyshev,2,0.6517371
5,0.1,100,chebyshev,3,0.6248197
5,0.25,50,chebyshev,2,0.5891754
20,0.0,50,chebyshev,2,0.5879728
10,0.1,100,chebyshev,2,0.578664
20,0.0,100,chebyshev,2,0.5724104
10,0.0,50,chebyshev,2,0.57193655
10,0.0,20,chebyshev,2,0.57145774
5,0.25,20,chebyshev,2,0.5686285
20,0.1,50,chebyshev,2,0.5636253
10,0.0,10,chebyshev,2,0.5559071
10,0.1,5,chebyshev,2,0.5504343
10,0.1,10,chebyshev,2,0.5459144
5,0.25,10,chebyshev,2,0.544059
10,0.25,20,chebyshev,2,0.54176736
5,0.25,100,chebyshev,3,0.5397924
5,0.0,2,chebyshev,5,0.53604394
50,0.0,50,chebyshev,2,0.5315665
5,0.0,50,minkowski,10,0.5307932
20,0.0,10,chebyshev,2,0.528292
10,0.1,20,chebyshev,2,0.5278898
5,0.0,20,minkowski,9,0.5268477
5,0.0,100,minkowski,10,0.5258419
20,0.1,20,chebyshev,2,0.5245185
50,0.0,100,chebyshev,2,0.5242415
5,0.0,2,euclidean,9,0.52278495
20,0.1,100,chebyshev,2,0.5225636
5,0.25,2,chebyshev,3,0.5214114
5,0.0,2,minkowski,9,0.5159848
5,0.0,5,euclidean,10,0.5154228
10,0.1,50,chebyshev,2,0.51248693
10,0.25,50,chebyshev,2,0.5122097
20,0.25,50,chebyshev,2,0.5113549
5,0.1,2,minkowski,10,0.51070046
5,0.0,20,manhattan,3,0.5094955
10,0.1,2,chebyshev,2,0.5081263
5,0.1,5,chebyshev,2,0.5076603
10,0.25,5,chebyshev,2,0.50685763
20,0.1,10,chebyshev,2,0.50667703
10,0.25,10,chebyshev,2,0.50518936
20,0.0,5,chebyshev,2,0.50394994
5,0.0,10,minkowski,9,0.49931002
5,0.25,5,chebyshev,2,0.49718586
50,0.1,100,chebyshev,2,0.49712303
5,0.0,10,euclidean,9,0.4966987
5,0.0,5,minkowski,10,0.49462548
5,0.0,50,euclidean,9,0.49342158
10,0.0,2,chebyshev,7,0.49318883
100,0.0,100,chebyshev,2,0.49184605
5,0.1,2,chebyshev,5,0.4910214
20,0.0,20,chebyshev,2,0.49054676
5,0.0,20,euclidean,5,0.4900366
20,0.25,20,chebyshev,2,0.4883291
10,0.0,20,manhattan,4,0.48830533
